o22rrlabsecgw05 # 
o22rrlabsecgw05 (vdom) # current vf=LTE_Traffic:2

o22rrlabsecgw05 (LTE_Traffic) # 
Routing table for VRF=0
Codes: K - kernel, C - connected, S - static, R - RIP, B - BGP
       O - OSPF, IA - OSPF inter area
       N1 - OSPF NSSA external type 1, N2 - OSPF NSSA external type 2
       E1 - OSPF external type 1, E2 - OSPF external type 2
       i - IS-IS, L1 - IS-IS level-1, L2 - IS-IS level-2, ia - IS-IS inter area
       * - candidate default

S       10.116.28.215/32 [10/0] is directly connected, e10.116.28.94
S       10.116.28.216/32 [10/0] is directly connected, e10.116.28.98
S       10.116.28.218/32 [10/0] is directly connected, e10.116.28.106
S       10.116.28.220/32 [10/0] is directly connected, e10.116.28.114
S       10.116.28.221/32 [10/0] is directly connected, e10.116.28.118
S       10.116.28.222/32 [10/0] is directly connected, e10.116.28.122
S       10.116.28.223/32 [10/0] is directly connected, n10.116.28.126
S       10.116.31.0/24 [10/0] via 10.250.164.65, vlan226_mplane
S       10.116.34.0/28 [10/0] via 10.250.164.81, vlan227_s1plane
S       10.116.34.4/32 [10/0] via 10.250.164.73, vlan228_eRan
S       10.116.34.5/32 [10/0] via 10.250.164.73, vlan228_eRan
S       10.116.34.7/32 [10/0] via 10.250.164.73, vlan228_eRan
S       10.116.34.8/32 [10/0] via 10.250.164.73, vlan228_eRan
S       10.116.34.9/32 [10/0] via 10.250.164.73, vlan228_eRan
S       10.116.34.16/29 [10/0] via 10.250.164.81, vlan227_s1plane
S       10.116.34.17/32 [10/0] is directly connected, h10.116.34.4
S       10.116.34.18/32 [10/0] is directly connected, h10.116.34.5
S       10.116.34.21/32 [10/0] is directly connected, n10.116.34.8
S       10.116.34.22/32 [10/0] is directly connected, h10.116.34.9
S       10.116.34.24/29 [10/0] via 10.250.164.81, vlan227_s1plane
S       10.116.34.25/32 [10/0] is directly connected, h10.116.34.4
S       10.116.34.26/32 [10/0] is directly connected, h10.116.34.5
S       10.116.34.29/32 [10/0] is directly connected, n10.116.34.8
S       10.116.34.30/32 [10/0] is directly connected, h10.116.34.9
S       10.116.34.32/29 [10/0] via 10.250.164.81, vlan227_s1plane
S       10.116.34.33/32 [10/0] is directly connected, h10.116.34.4
S       10.116.34.34/32 [10/0] is directly connected, h10.116.34.5
S       10.116.34.37/32 [10/0] is directly connected, n10.116.34.8
S       10.116.34.38/32 [10/0] is directly connected, h10.116.34.9
S       10.116.34.72/29 [10/0] via 10.250.164.81, vlan227_s1plane
S       10.116.34.156/32 [10/0] via 10.250.164.73, vlan228_eRan
S       10.116.34.157/32 [10/0] via 10.250.164.73, vlan228_eRan
S       10.116.34.158/32 [10/0] via 10.250.164.73, vlan228_eRan
S       10.116.34.164/32 [10/0] is directly connected, n10.116.34.156
S       10.116.34.165/32 [10/0] is directly connected, n10.116.34.157
S       10.116.34.172/32 [10/0] is directly connected, n10.116.34.156
S       10.116.34.173/32 [10/0] is directly connected, n10.116.34.157
S       10.116.34.180/32 [10/0] is directly connected, n10.116.34.156
S       10.116.34.181/32 [10/0] is directly connected, n10.116.34.157
S       10.116.34.192/29 [10/0] via 10.250.164.65, vlan226_mplane
S       10.116.34.240/29 [10/0] via 10.250.164.65, vlan226_mplane
S       10.116.34.253/32 [10/0] via 10.250.164.65, vlan226_mplane
S       10.116.37.132/32 [10/0] via 10.250.164.81, vlan227_s1plane
S       10.116.49.0/26 [10/0] via 10.250.164.81, vlan227_s1plane
S       10.116.49.4/32 [10/0] via 10.250.164.73, vlan228_eRan
S       10.116.49.5/32 [10/0] via 10.250.164.73, vlan228_eRan
S       10.116.49.6/32 [10/0] via 10.250.164.73, vlan228_eRan
S       10.116.49.7/32 [10/0] via 10.250.164.73, vlan228_eRan
S       10.116.49.8/32 [10/0] via 10.250.164.73, vlan228_eRan
S       10.116.49.9/32 [10/0] via 10.250.164.73, vlan228_eRan
S       10.116.49.11/32 [10/0] via 10.250.164.73, vlan228_eRan
S       10.116.49.12/32 [10/0] via 10.250.164.73, vlan228_eRan
S       10.116.49.13/32 [10/0] via 10.250.164.73, vlan228_eRan
S       10.116.49.14/32 [10/0] via 10.250.164.73, vlan228_eRan
S       10.116.49.20/32 [10/0] is directly connected, n10.116.49.4
S       10.116.49.21/32 [10/0] is directly connected, n10.116.49.5
S       10.116.49.22/32 [10/0] is directly connected, n10.116.49.6
S       10.116.49.23/32 [10/0] is directly connected, h10.116.49.7
S       10.116.49.24/32 [10/0] is directly connected, h10.116.49.8
S       10.116.49.30/32 [10/0] is directly connected, n10.116.49.14
S       10.116.49.36/32 [10/0] is directly connected, n10.116.49.4
S       10.116.49.37/32 [10/0] is directly connected, n10.116.49.5
S       10.116.49.38/32 [10/0] is directly connected, n10.116.49.6
S       10.116.49.39/32 [10/0] is directly connected, h10.116.49.7
S       10.116.49.40/32 [10/0] is directly connected, h10.116.49.8
S       10.116.49.46/32 [10/0] is directly connected, n10.116.49.14
S       10.116.49.52/32 [10/0] is directly connected, n10.116.49.4
S       10.116.49.53/32 [10/0] is directly connected, n10.116.49.5
S       10.116.49.54/32 [10/0] is directly connected, n10.116.49.6
S       10.116.49.55/32 [10/0] is directly connected, h10.116.49.7
S       10.116.49.56/32 [10/0] is directly connected, h10.116.49.8
S       10.116.49.62/32 [10/0] is directly connected, n10.116.49.14
S       10.116.52.240/28 [10/0] via 10.250.164.81, vlan227_s1plane
S       10.116.54.0/24 [10/0] via 10.250.164.81, vlan227_s1plane
S       10.116.56.36/32 [10/0] via 10.250.164.73, vlan228_eRan
S       10.116.56.37/32 [10/0] via 10.250.164.73, vlan228_eRan
S       10.116.56.44/32 [10/0] via 10.250.164.73, vlan228_eRan
S       10.116.56.45/32 [10/0] via 10.250.164.73, vlan228_eRan
S       10.116.56.52/32 [10/0] is directly connected, n10.116.56.36
S       10.116.56.60/32 [10/0] is directly connected, n10.116.56.44
S       10.116.56.61/32 [10/0] is directly connected, n10.116.56.45
S       10.116.56.64/27 [10/0] via 10.250.164.81, vlan227_s1plane
S       10.116.56.68/32 [10/0] is directly connected, n10.116.56.36
S       10.116.56.76/32 [10/0] is directly connected, n10.116.56.44
S       10.116.56.77/32 [10/0] is directly connected, n10.116.56.45
S       10.116.56.84/32 [10/0] is directly connected, n10.116.56.36
S       10.116.56.92/32 [10/0] is directly connected, n10.116.56.44
S       10.116.56.93/32 [10/0] is directly connected, n10.116.56.45
S       10.116.59.48/29 [10/0] via 10.250.164.81, vlan227_s1plane
S       10.116.59.56/30 [10/0] via 10.250.164.81, vlan227_s1plane
S       10.116.59.96/29 [10/0] via 10.250.164.81, vlan227_s1plane
